word,all,0,1,2,3,4,more vars
using,1322,0.22465960665658094,0.602874432677761,0.14296520423600606,0.02118003025718608,0.00529500756429652,0.0030257186081694403
,3327,0.6146678689510069,0.2551848512173129,0.09558160504959423,0.027351968740607153,0.0066125638713555755,0.0006011421701232341
ignoring,859,0.3469150174621653,0.4912689173457509,0.13271245634458673,0.02677532013969732,0.002328288707799767,0.0
error,6203,0.5574721908753829,0.36369498629695307,0.0667418990810898,0.01080122521360632,0.0008060615831049493,0.00048363694986296955
adding,1311,0.2509534706331045,0.47368421052631576,0.2494279176201373,0.016781083142639208,0.007627765064836003,0.0015255530129672007
could,2158,0.41241890639481,0.45968489341983315,0.10611677479147359,0.018072289156626505,0.0018535681186283596,0.0018535681186283596
received,1406,0.20910384068278806,0.5554765291607396,0.1763869132290185,0.04694167852062589,0.00995732574679943,0.0021337126600284497
setting,770,0.22337662337662337,0.5272727272727272,0.21948051948051947,0.024675324675324677,0.005194805194805195,0.0
cannot,1457,0.40356897735072067,0.4776938915579959,0.10020590253946465,0.014413177762525738,0.0034317089910775567,0.0006863417982155113
created,825,0.1006060606060606,0.6375757575757576,0.2206060606060606,0.02909090909090909,0.007272727272727273,0.0048484848484848485
failed,6943,0.4153823995391041,0.436554803399107,0.11565605645974363,0.02678957223102405,0.003888808872245427,0.0017283594987757454
sending,850,0.21529411764705883,0.4858823529411765,0.22470588235294117,0.0611764705882353,0.00823529411764706,0.004705882352941176
removing,749,0.15220293724966621,0.6275033377837116,0.16688918558077437,0.04806408544726302,0.004005340453938585,0.0013351134846461949
start,725,0.6565517241379311,0.2717241379310345,0.04689655172413793,0.023448275862068966,0.0,0.001379310344827586
no,2698,0.47850259451445515,0.4262416604892513,0.08080059303187546,0.01223128243143069,0.0018532246108228317,0.00037064492216456633
unexpected,1107,0.5772357723577236,0.3794037940379404,0.04155374887082204,0.0018066847335140017,0.0,0.0
creating,1786,0.3628219484882419,0.43784994400895855,0.14669652855543114,0.03583426651735722,0.008958566629339306,0.007838745800671893
unable,4544,0.3816021126760563,0.46786971830985913,0.12522007042253522,0.02244718309859155,0.0024207746478873238,0.00044014084507042255
updating,829,0.15319662243667068,0.2388419782870929,0.5657418576598311,0.03739445114595899,0.0036188178528347406,0.0012062726176115801
invalid,826,0.28329297820823246,0.5569007263922519,0.12832929782082325,0.025423728813559324,0.0,0.006053268765133172
not,936,0.41346153846153844,0.43162393162393164,0.12072649572649573,0.028846153846153848,0.004273504273504274,0.0010683760683760685
waiting,836,0.6399521531100478,0.30023923444976075,0.05502392344497608,0.004784688995215311,0.0,0.0
caught,896,0.4955357142857143,0.43526785714285715,0.052455357142857144,0.015625,0.0,0.0011160714285714285
got,1018,0.3005893909626719,0.5235756385068763,0.13359528487229863,0.0343811394891945,0.0068762278978389,0.0009823182711198428
starting,1888,0.6122881355932204,0.2971398305084746,0.07415254237288135,0.011122881355932203,0.00423728813559322,0.001059322033898305
OTHER__,104602,0.33981185828186844,0.462342976233724,0.15436607330643773,0.03307776141947573,0.007858358348788742,0.002542972409705359
found,1517,0.10481212920237311,0.5702043506921556,0.27356624917600525,0.04218852999340804,0.005932762030323006,0.0032959789057350032
exception,3053,0.7255158860137569,0.23223059285948247,0.03832296102194563,0.003930560104814936,0.0,0.0
