word,weighted avg,all,debug,error,info,trace,fatal,warn
updating,0.13920386007237637,829,0.7515078407720145,0.0036188178528347406,0.18455971049457176,0.05307599517490953,0.0012062726176115801,0.006031363088057901
sending,0.15541176470588236,850,0.508235294117647,0.002352941176470588,0.3058823529411765,0.16823529411764707,0.0,0.015294117647058824
adding,0.1614797864225782,1311,0.5568268497330282,0.002288329519450801,0.32799389778794813,0.10526315789473684,0.0,0.007627765064836003
created,0.18472727272727274,825,0.48,0.0012121212121212121,0.44363636363636366,0.07151515151515152,0.0,0.0036363636363636364
creating,0.18482642777155653,1786,0.44400895856662936,0.007278835386338186,0.4227323628219485,0.11590145576707726,0.0,0.010078387458006719
removing,0.18945260347129506,749,0.5527369826435247,0.028037383177570093,0.2883845126835781,0.09879839786381843,0.0,0.03204272363150868
using,0.1991679273827534,1322,0.4485627836611195,0.0037821482602118004,0.4130105900151286,0.09606656580937972,0.0,0.038577912254160365
setting,0.20272727272727273,770,0.45714285714285713,0.011688311688311689,0.38831168831168833,0.1,0.0,0.04285714285714286
found,0.23058668424522083,1517,0.5102175346077785,0.04614370468029005,0.26499670402109426,0.0955833882663151,0.0013183915622940012,0.08174027686222808
received,0.23207681365576102,1406,0.4352773826458037,0.050497866287339974,0.29445234708392604,0.1415362731152205,0.0,0.07823613086770982
starting,0.2379766949152542,1888,0.2595338983050847,0.0031779661016949155,0.6620762711864406,0.06038135593220339,0.0005296610169491525,0.014300847457627119
waiting,0.23851674641148327,836,0.2631578947368421,0.004784688995215311,0.6303827751196173,0.07535885167464115,0.0011961722488038277,0.025119617224880382
start,0.26206896551724135,725,0.18344827586206897,0.023448275862068966,0.6910344827586207,0.08137931034482758,0.002758620689655172,0.01793103448275862
OTHER__,0.2984407563908911,104602,0.3620102866101987,0.09076308292384466,0.35438136938108256,0.0882487906540984,0.0034033766084778493,0.10119309382229785
ignoring,0.30128055878928983,859,0.40046565774155995,0.04190919674039581,0.1420256111757858,0.15715948777648428,0.0,0.25844004656577413
got,0.34970530451866405,1018,0.26031434184675833,0.12573673870333987,0.4204322200392927,0.07465618860510806,0.003929273084479371,0.11493123772102161
no,0.37535211267605634,2698,0.37175685693106003,0.13194959229058562,0.17234988880652335,0.08450704225352113,0.00037064492216456633,0.2390659747961453
not,0.3795940170940171,936,0.35149572649572647,0.11858974358974358,0.21794871794871795,0.06623931623931624,0.0010683760683760685,0.24465811965811965
,0.3941989780583107,3327,0.2467688608355876,0.17944093778178538,0.2651036970243463,0.12834385332131049,0.007514277126540427,0.17282837391042982
cannot,0.6048730267673302,1457,0.19698009608785175,0.35964310226492796,0.06245710363761153,0.03706245710363761,0.0068634179821551134,0.3369938229238161
caught,0.6217633928571428,896,0.16517857142857142,0.46316964285714285,0.14397321428571427,0.021205357142857144,0.002232142857142857,0.20424107142857142
could,0.6355885078776645,2158,0.16682113067655235,0.4008341056533828,0.06533827618164968,0.027803521779425393,0.0037071362372567192,0.33549582947173306
unable,0.6575484154929577,4544,0.14568661971830985,0.3617957746478873,0.04379401408450704,0.018265845070422535,0.009683098591549295,0.42077464788732394
failed,0.6674348264439003,6943,0.15497623505689184,0.43741898314849487,0.04652167650871381,0.01368284603197465,0.003744778914014115,0.3436554803399107
invalid,0.6732445520581114,826,0.12106537530266344,0.4092009685230024,0.06053268765133172,0.01937046004842615,0.006053268765133172,0.3837772397094431
exception,0.7142482803799541,3053,0.09957418932197838,0.554208974778906,0.06354405502784147,0.017032427120864724,0.0016377333770062235,0.2640026203734032
error,0.7560696437207802,6203,0.08866677414154442,0.635821376753184,0.0348218603901338,0.008221828147670482,0.005964855714976625,0.22650330485249073
unexpected,0.771364046973803,1107,0.05600722673893405,0.6269196025293586,0.022583559168925023,0.016260162601626018,0.0,0.27822944896115626
