jgraphx.grepped_logs,1
selenium.grepped_logs,321
HearthStats.net-Uploader.grepped_logs,151
ChatSecureAndroid.grepped_logs,0
dubbo.grepped_logs,301
kotlin.grepped_logs,260
spring-boot.grepped_logs,272
modeshape.grepped_logs,584
mopub-android-sdk.grepped_logs,0
wro4j.grepped_logs,423
operaprestodriver.grepped_logs,1
egit-github.grepped_logs,0
wicket.grepped_logs,397
eureka.grepped_logs,389
errai.grepped_logs,511
orientdb.grepped_logs,43
cascading.grepped_logs,344
gnucash-android.grepped_logs,0
gwt.grepped_logs,5
platform_packages_apps_contacts.grepped_logs,0
wigle-wifi-wardriving.grepped_logs,0
lucene-solr.grepped_logs,3081
c3p0.grepped_logs,10
cdk.grepped_logs,138
wonder.grepped_logs,2834
mondrian.grepped_logs,183
airlift.grepped_logs,65
platform_packages_apps_email.grepped_logs,0
spring-webflow.grepped_logs,133
nutch.grepped_logs,881
gradle.grepped_logs,704
FBReaderJ.grepped_logs,0
jmeter.grepped_logs,1742
tomcat70.grepped_logs,1624
stripe-java.grepped_logs,0
voldemort.grepped_logs,1445
sonarqube.grepped_logs,583
hibernate-orm.grepped_logs,655
hazelcast.grepped_logs,293
ormlite-core.grepped_logs,81
ribbon.grepped_logs,118
platform_dalvik.grepped_logs,0
ambari.grepped_logs,5347
Bukkit.grepped_logs,0
spring-data-neo4j.grepped_logs,35
cloudstack.grepped_logs,11426
keepassdroid.grepped_logs,0
Hystrix.grepped_logs,99
UniversalMediaServer.grepped_logs,1562
xwiki-platform.grepped_logs,1090
RxJava.grepped_logs,0
governator.grepped_logs,183
jnr-ffi.grepped_logs,1
jackrabbit-oak.grepped_logs,2521
atmosphere.grepped_logs,710
appfuse.grepped_logs,265
opencms-core.grepped_logs,628
opensearchserver.grepped_logs,3
android-bankdroid.grepped_logs,0
sling.grepped_logs,0
camel.grepped_logs,8466
mcpatcher.grepped_logs,13
Java-Lang.grepped_logs,1
aws-sdk-java.grepped_logs,221
druid.grepped_logs,193
java-driver.grepped_logs,377
java-memcached-client.grepped_logs,9
