keycloak,git://github.com/keycloak/keycloak.git
arquillian-core,git://github.com/arquillian/arquillian-core.git
incubator-calcite,git://github.com/apache/incubator-calcite.git
quickfixj,git://github.com/quickfix-j/quickfixj.git
Android-Universal-Image-Loader,git://github.com/nostra13/Android-Universal-Image-Loader.git
BarcodeScanner,git://github.com/wildabeast/BarcodeScanner.git
jsoup,git://github.com/jhy/jsoup.git
FML,git://github.com/MinecraftForge/FML.git
camunda-bpm-platform,git://github.com/camunda/camunda-bpm-platform.git
mycollab,git://github.com/MyCollab/mycollab.git
GWTP,git://github.com/ArcBees/GWTP.git
boon,git://github.com/boonproject/boon.git
activejdbc,git://github.com/javalite/activejdbc.git
proctor,git://github.com/indeedeng/proctor.git
prevayler,git://github.com/jsampson/prevayler.git
liferay-plugins,git://github.com/liferay/liferay-plugins.git
roboguice,git://github.com/roboguice/roboguice.git
PayPal-Java-SDK,git://github.com/paypal/PayPal-Java-SDK.git
memcached-session-manager,git://github.com/magro/memcached-session-manager.git
sqoop-release,git://github.com/apache/sqoop.git
groovy-eclipse,git://github.com/groovy/groovy-eclipse.git
google-http-java-client,git://github.com/google/google-http-java-client.git
wiremock,git://github.com/tomakehurst/wiremock.git
jOOQ,git://github.com/jOOQ/jOOQ.git
jolokia,git://github.com/rhuss/jolokia.git
facebook4j,git://github.com/roundrop/facebook4j.git
jcabi-aspects,git://github.com/jcabi/jcabi-aspects.git
ListViewAnimations,git://github.com/nhaarman/ListViewAnimations.git
bonecp,git://github.com/wwadge/bonecp.git
workflow-plugin,git://github.com/jenkinsci/workflow-plugin.git
btrace,git://github.com/jbachorik/btrace.git
pebble,git://github.com/mbosecke/pebble.git
Android-PullToRefresh,git://github.com/chrisbanes/Android-PullToRefresh.git
OpenRefine,git://github.com/OpenRefine/OpenRefine.git
citrus,git://github.com/webx/citrus.git
ofbiz,git://github.com/apache/ofbiz.git
config,git://github.com/typesafehub/config.git
marytts,git://github.com/marytts/marytts.git
morphia,git://github.com/mongodb/morphia.git
vk-android-sdk,git://github.com/VKCOM/vk-android-sdk.git
autopsy,git://github.com/sleuthkit/autopsy.git
Android-Iconics,git://github.com/mikepenz/Android-Iconics.git
opennlp,git://github.com/apache/opennlp.git
okhttp,git://github.com/square/okhttp.git
guice,git://github.com/google/guice.git
fitnesse,git://github.com/unclebob/fitnesse.git
vraptor4,git://github.com/caelum/vraptor4.git
pdfbox,git://github.com/apache/pdfbox.git
soot,git://github.com/Sable/soot.git
Carbon,git://github.com/ZieIony/Carbon.git
gridgain,git://github.com/gridgain/gridgain.git
zaproxy,git://github.com/zaproxy/zaproxy.git
selenide,git://github.com/codeborne/selenide.git
CrossBow,git://github.com/TwistedEquations/CrossBow.git
titan,git://github.com/thinkaurelius/titan.git
Terasology,git://github.com/MovingBlocks/Terasology.git
TweetLanes,git://github.com/chrislacy/TweetLanes.git
hibernate-ogm,git://github.com/hibernate/hibernate-ogm.git
optiq,git://github.com/julianhyde/optiq.git
bither-android,git://github.com/bither/bither-android.git
metadata-extractor,git://github.com/drewnoakes/metadata-extractor.git
thymeleaf-layout-dialect,git://github.com/ultraq/thymeleaf-layout-dialect.git
androidquery,git://github.com/androidquery/androidquery.git
jasmine-maven-plugin,git://github.com/searls/jasmine-maven-plugin.git
spring-social-facebook,git://github.com/spring-projects/spring-social-facebook.git
gatk,git://github.com/broadgsa/gatk.git
structr,git://github.com/structr/structr.git
elasticsearch-analysis-icu,git://github.com/elastic/elasticsearch-analysis-icu.git
picasso,git://github.com/square/picasso.git
junit,git://github.com/junit-team/junit.git
phonegap-facebook-plugin,git://github.com/Wizcorp/phonegap-facebook-plugin.git
android-database-sqlcipher,git://github.com/sqlcipher/android-database-sqlcipher.git
ideavim,git://github.com/JetBrains/ideavim.git
UpdateChecker,git://github.com/rampo/UpdateChecker.git
parseq,git://github.com/linkedin/parseq.git
playn,git://github.com/threerings/playn.git
d2rq,git://github.com/d2rq/d2rq.git
GeoIP2-java,git://github.com/maxmind/GeoIP2-java.git
Jnario,git://github.com/sebastianbenz/Jnario.git
st-js,git://github.com/st-js/st-js.git
xtreemfs,git://github.com/xtreemfs/xtreemfs.git
bigbluebutton,git://github.com/bigbluebutton/bigbluebutton.git
android-volley,git://github.com/mcxiaoke/android-volley.git
robospice,git://github.com/stephanenicolas/robospice.git
MaterialEditText,git://github.com/rengwuxian/MaterialEditText.git
blueprints,git://github.com/tinkerpop/blueprints.git
sdkexamples-android,git://github.com/easemob/sdkexamples-android.git
restfb,git://github.com/restfb/restfb.git
spock,git://github.com/spockframework/spock.git
freemarker,git://github.com/freemarker/freemarker.git
nifty,git://github.com/facebook/nifty.git
CommandBook,git://github.com/sk89q/CommandBook.git
truth,git://github.com/google/truth.git
hppc,git://github.com/carrotsearch/hppc.git
geppetto,git://github.com/cloudsmith/geppetto.git
ReactFX,git://github.com/TomasMikula/ReactFX.git
glide,git://github.com/bumptech/glide.git
jstorm,git://github.com/alibaba/jstorm.git
java-apns,git://github.com/notnoop/java-apns.git
material-menu,git://github.com/balysv/material-menu.git
selendroid,git://github.com/selendroid/selendroid.git
spring-social,git://github.com/spring-projects/spring-social.git
sshj,git://github.com/hierynomus/sshj.git
OpenIAB,git://github.com/onepf/OpenIAB.git
soapui,git://github.com/SmartBear/soapui.git
crawljax,git://github.com/crawljax/crawljax.git
accumulo,git://github.com/apache/accumulo.git
transdroid,git://github.com/erickok/transdroid.git
gwt-maven-plugin,git://github.com/gwt-maven-plugin/gwt-maven-plugin.git
BoofCV,git://github.com/lessthanoptimal/BoofCV.git
Android-Next,git://github.com/mcxiaoke/Android-Next.git
RichTextFX,git://github.com/TomasMikula/RichTextFX.git
zxing,git://github.com/zxing/zxing.git
openhab,git://github.com/openhab/openhab.git
bitcoinj,git://github.com/bitcoinj/bitcoinj.git
todo.txt-android,git://github.com/ginatrapani/todo.txt-android.git
mahout,git://github.com/apache/mahout.git
antlr4,git://github.com/antlr/antlr4.git
cloudhopper-smpp,git://github.com/twitter/cloudhopper-smpp.git
jcommon,git://github.com/facebook/jcommon.git
nd4j,git://github.com/deeplearning4j/nd4j.git
BiomesOPlenty,git://github.com/Glitchfiend/BiomesOPlenty.git
obd-java-api,git://github.com/pires/obd-java-api.git
jsprit,git://github.com/jsprit/jsprit.git
android-support-v4-googlemaps,git://github.com/petedoyle/android-support-v4-googlemaps.git
togglz,git://github.com/togglz/togglz.git
chipKIT32-MAX,git://github.com/chipKIT32/chipKIT32-MAX.git
java-object-diff,git://github.com/SQiShER/java-object-diff.git
eurekastreams,git://github.com/lmco/eurekastreams.git
tachyon,git://github.com/amplab/tachyon.git
