struts,git://github.com/apache/struts.git
uaa,git://github.com/cloudfoundry/uaa.git
governator,git://github.com/Netflix/governator.git
igv,git://github.com/igvteam/igv.git
material-dialogs,git://github.com/afollestad/material-dialogs.git
DSpace,git://github.com/DSpace/DSpace.git
commons-lang,git://github.com/apache/commons-lang.git
github-api,git://github.com/kohsuke/github-api.git
servo,git://github.com/Netflix/servo.git
elasticsearch-jdbc,git://github.com/jprante/elasticsearch-jdbc.git
twilio-java,git://github.com/twilio/twilio-java.git
rabbitmq-java-client,git://github.com/rabbitmq/rabbitmq-java-client.git
hudson,git://github.com/kohsuke/hudson.git
spring-batch,git://github.com/spring-projects/spring-batch.git
WorldGuard,git://github.com/sk89q/WorldGuard.git
tomcat70,git://github.com/apache/tomcat70.git
Bukkit,git://github.com/Bukkit/Bukkit.git
spring-security,git://github.com/spring-projects/spring-security.git
jgit,git://github.com/eclipse/jgit.git
spring-data-commons,git://github.com/spring-projects/spring-data-commons.git
overthere,git://github.com/xebialabs/overthere.git
wigle-wifi-wardriving,git://github.com/wiglenet/wigle-wifi-wardriving.git
wildfly,git://github.com/wildfly/wildfly.git
gnucash-android,git://github.com/codinguser/gnucash-android.git
xtext,git://github.com/eclipse/xtext.git
legacy-jclouds,git://github.com/jclouds/legacy-jclouds.git
wonder,git://github.com/wocommunity/wonder.git
ormlite-core,git://github.com/j256/ormlite-core.git
javaewah,git://github.com/lemire/javaewah.git
MaterialDrawer,git://github.com/mikepenz/MaterialDrawer.git
karyon,git://github.com/Netflix/karyon.git
isis,git://github.com/apache/isis.git
spring-data-neo4j,git://github.com/spring-projects/spring-data-neo4j.git
davdroid,git://github.com/bitfireAT/davdroid.git
jackrabbit-oak,git://github.com/apache/jackrabbit-oak.git
c3p0,git://github.com/swaldman/c3p0.git
zookeeper,git://github.com/apache/zookeeper.git
drools,git://github.com/droolsjbpm/drools.git
geoserver,git://github.com/geoserver/geoserver.git
jackson-dataformat-xml,git://github.com/FasterXML/jackson-dataformat-xml.git
geotools,git://github.com/geotools/geotools.git
avro,git://github.com/apache/avro.git
ExtrabiomesXL,git://github.com/ExtrabiomesXL/ExtrabiomesXL.git
Java-Lang,git://github.com/OpenHFT/Java-Lang.git
Chronicle-Map,git://github.com/OpenHFT/Chronicle-Map.git
spring-data-mongodb,git://github.com/spring-projects/spring-data-mongodb.git
AntennaPod,git://github.com/AntennaPod/AntennaPod.git
gwt,git://github.com/gwtproject/gwt.git
guava,git://github.com/google/guava.git
jbpm,git://github.com/droolsjbpm/jbpm.git
voldemort,git://github.com/voldemort/voldemort.git
jackson-databind,git://github.com/FasterXML/jackson-databind.git
mule,git://github.com/mulesoft/mule.git
ribbon,git://github.com/Netflix/ribbon.git
pig,git://github.com/apache/pig.git
infovore,git://github.com/paulhoule/infovore.git
logback,git://github.com/qos-ch/logback.git
Pydev,git://github.com/aptana/Pydev.git
phonegap-app-developer,git://github.com/phonegap/phonegap-app-developer.git
opensearchserver,git://github.com/jaeksoft/opensearchserver.git
rest-driver,git://github.com/rest-driver/rest-driver.git
java-driver,git://github.com/datastax/java-driver.git
ormlite-android,git://github.com/j256/ormlite-android.git
jackson-core,git://github.com/FasterXML/jackson-core.git
feign,git://github.com/Netflix/feign.git
avaje-ebeanorm,git://github.com/ebean-orm/avaje-ebeanorm.git
fast-serialization,git://github.com/RuedigerMoeller/fast-serialization.git
testng,git://github.com/cbeust/testng.git
